subID,Outcome,itemL,itemR,value,compar,D_vas1,D_vas2,D_vas3
401,0,21,12,1,1,1.23091491,0,2.159734203
401,1,14,6,2,3,NaN,1.821078398,0
401,0,12,20,1,1,1.23091491,0,0
401,1,5,24,2,2,2.46182982,1.821078398,0
401,0,8,25,3,2,0,0,2.159734203
401,0,15,22,2,1,0,0,-2.159734203
401,1,5,13,2,3,2.46182982,1.821078398,0
401,0,10,19,1,1,1.23091491,0,0
401,1,4,24,2,2,0,1.821078398,0
401,0,14,24,2,1,1.23091491,0,0
401,1,9,18,3,3,0,0,0
401,0,27,18,3,1,0,2.731617597,0
401,0,13,4,2,3,0,1.821078398,0
401,0,2,19,1,2,0,1.821078398,2.159734203
401,1,18,26,3,1,1.23091491,1.821078398,0
401,0,27,16,3,1,NaN,0.910539199,-1.079867101
401,1,23,6,2,2,NaN,0.910539199,1.079867101
401,0,4,23,2,2,-1.23091491,0.910539199,1.079867101
401,1,8,26,3,2,1.23091491,-0.910539199,-1.079867101
401,0,17,9,3,3,0,0,2.159734203
401,1,24,6,2,2,NaN,1.821078398,0
401,1,13,22,2,1,-1.23091491,0,0
401,0,14,23,2,1,0,-0.910539199,1.079867101
401,1,11,3,1,3,1.23091491,NaN,-1.079867101
401,0,25,17,3,1,0,2.731617597,1.079867101
401,0,2,12,1,3,-2.46182982,1.821078398,0
401,0,26,17,3,1,1.23091491,1.821078398,-2.159734203
401,1,6,13,2,3,NaN,1.821078398,0
401,1,6,15,2,3,NaN,1.821078398,2.159734203
401,0,9,27,3,2,0,2.731617597,0
401,1,15,5,2,3,1.23091491,1.821078398,2.159734203
401,1,20,11,1,1,-1.23091491,NaN,0
401,0,21,11,1,1,-1.23091491,NaN,2.159734203
401,0,7,16,3,3,NaN,1.821078398,1.079867101
401,1,3,20,1,2,0,1.821078398,-1.079867101
401,1,1,10,1,3,-1.23091491,0,2.159734203
401,1,16,9,3,3,NaN,1.821078398,1.079867101
401,0,21,3,1,2,0,1.821078398,1.079867101
401,0,2,20,1,2,-1.23091491,1.821078398,0
401,0,25,9,3,2,0,2.731617597,3.239601304
401,0,7,17,3,3,0,0,2.159734203
401,0,11,2,1,3,0,NaN,0
401,1,22,5,2,2,1.23091491,1.821078398,0
401,1,1,20,1,2,-1.23091491,0,0
401,1,15,4,2,3,-1.23091491,1.821078398,2.159734203
401,0,7,25,3,2,0,2.731617597,3.239601304
401,1,10,2,1,3,-1.23091491,1.821078398,2.159734203
401,0,18,25,3,1,0,2.731617597,3.239601304
401,0,24,15,2,1,1.23091491,0,-2.159734203
401,0,10,21,1,1,0,0,0
401,1,5,14,2,3,1.23091491,1.821078398,0
401,0,26,9,3,2,1.23091491,1.821078398,0
401,1,3,19,1,2,1.23091491,1.821078398,1.079867101
401,0,12,1,1,3,-2.46182982,0,0
401,0,7,27,3,2,0,2.731617597,0
